撩|liao2|40
擂|lei2|10
擂|lei4|14
操|cao1|162
操|cao4|4
擘|bo2|1
擘|bai1|3
擘|bo4|12
攒|cuan2|50
攒|zan3|12
教|jiao1|18
教|jiao4|462
散|san4|230
散|san3|112
数|shu3|113
数|shuo4|8
数|shu4|680
斗|dou4|208
斗|dou3|270
旄|mao4|4
旄|mao2|4
旋|xuan2|138
旋|xuan4|19
无|mo2|3
无|wu2|1822
晃|huang4|34
晃|huang3|23
晕|yun4|45
晕|yun1|43
景|ying3|4
景|jing3|235
暴|pu4|10
暴|bao4|179
曰|yue1|8
曰|yue4|4
曲|qu1|147
曲|qu3|433
更|geng4|34
更|geng1|202
曾|ceng2|14
曾|zeng1|71
月|yue4|711
月|rou4|4
有|you4|2
有|you3|1162
服|fu2|323
服|fu4|2
朝|zhao1|217
朝|chao2|248
术|shu4|298
术|zhu2|4
朴|piao2|36
朴|po1|2
朴|po4|10
朴|pu3|41
杆|gan3|142
杆|gan1|37
杈|cha4|10
杈|cha1|5
杉|shan1|24
杉|sha1|4
枞|zong1|6
枞|cong1|5
柏|bo4|6
柏|bai3|50
柏|bo2|43
柚|you4|5
柚|you2|2
柞|zha4|5
柞|zuo4|10
查|zha1|3
查|cha2|242
栅|zha4|13
栅|shan1|10
栖|xi1|6
栖|qi1|55
校|jiao4|64
校|xiao4|152
核|he2|300
核|hu2|6
桁|hang2|4
桁|heng2|5
桄|guang4|4
桄|guang1|3
桔|jie2|4
桔|ju2|5
棱|ling2|2
棱|leng1|8
棱|leng2|44
椎|chui2|18
椎|chui1|1
椎|zhui1|53
楞|leng4|14
楞|leng2|21
槛|jian4|16
槛|kan3|8
槟|bin1|7
槟|bing1|10
模|mo2|173
模|mu2|38
横|heng2|279
横|heng4|68
正|zheng1|22
正|zheng4|658
毂|gu1|14
毂|gu3|13
氏|zhi1|8
氏|shi4|127
氓|meng2|4
氓|mang2|11
汗|han2|24
汗|han4|101
池|shi1|9
池|chi2|171
汤|shang1|16
汤|tang1|161
沈|shen3|101
沈|chen2|4
沓|ta3|1
沓|da2|3
沓|ta4|25
没|mei2|235
没|mo4|102
沤|ou1|6
沤|ou4|4
泊|po1|9
泊|bo2|72
泌|bi4|4
泌|mi4|18
泡|pao1|21
泡|pao4|83
泥|ni2|189
泥|ni4|18
浅|jian1|4
浅|qian3|102
浆|jiang4|6
浆|jiang1|97
济|ji3|28
济|ji4|242
浪|lang2|8
浪|lang4|191
涡|wo1|31
涡|guo1|4
涨|zhang4|10
涨|zhang3|26
淋|lin4|10
淋|lin2|59
混|hun2|22
混|hun4|133
渐|jian1|4
渐|jian4|40
渔|yu3|3
渔|yu2|74
渟|zi1|1
渟|ting2|6
渟|ting1|4
游|you1|1
游|you2|370
湫|qiu1|4
湫|jiao3|3
溜|liu1|112
溜|liu2|2
溜|liu4|14
溺|niao4|4
溺|ni4|31
漂|piao1|75
漂|piao4|8
漂|piao3|16
潦|lao3|3
潦|liao2|16
澄|cheng2|30
澄|deng4|12
澄|deng1|2
瀑|pu4|11
瀑|bao4|6
炮|pao4|129
炮|pao2|14
炸|zha4|64
炸|zha2|43
煞|sha4|45
煞|sha1|13
熟|shou2|4
熟|shu2|132
熬|ao1|4
熬|ao2|35
燎|liao2|19
燎|liao3|16
燎|liao4|2
燕|yan1|49
燕|yan4|156
爪|zhao3|55
爪|zhua3|23
父|fu4|133
父|fu3|6
片|pian1|69
片|pian4|306
牟|mu4|10
牟|mou2|10
犍|qian2|4
犍|jian1|5
狸|li3|2
狸|li2|27
率|shuai4|82
率|lv4|155
琢|zhuo2|20
琢|zuo2|7
瓦|wa3|257
瓦|wa4|4
甲|jia3|326
甲|jia2|14
町|ting3|6
町|ding1|6
町|ting1|2
畜|chu4|47
畜|xu4|20
番|fan1|63
番|pan1|6
畲|yu2|3
畲|she1|5
疟|yao4|4
疟|nue4|10
瘩|da1|13
瘩|da2|4
瘪|bie1|4
瘪|bie3|12
的|di4|74
的|de1|247
的|di1|4
的|di2|27
监|jian1|114
监|jian4|19
盖|ge3|4
盖|gai4|193
盛|cheng2|10
盛|sheng4|142
相|xiang1|743
相|xiang4|352
省|sheng3|140
省|xing3|60
眄|mian3|9
眄|mian4|8
看|kan1|37
看|kan4|229
着|zhuo2|138
着|zhao2|102
着|zhe1|167
着|zhao1|26
瞭|liao4|8
瞭|liao3|3
知|shi4|1
知|zhi1|536
知|zhi4|10
石|dan4|12
磅|pang2|10
磅|bang4|8
磨|mo4|48
磨|mo2|172
禁|jin4|134
禁|jin1|27
禅|shan4|10
禅|chan2|47
种|zhong3|227
种|zhong4|89
秘|bi4|4
秘|mi4|69
称|cheng4|2
称|chen4|70
称|cheng1|184
秸|ji2|4
秸|jie1|5
穰|rang3|6
穰|rang2|7
空|kong4|61
空|kong1|631
笼|long3|10
笼|long2|68
答|da2|66
答|da1|40
筠|yun2|4
筠|jun1|4
箕|qi2|1
箕|ji1|38
簸|bo4|4
簸|bo3|12
粘|nian2|88
粘|zhan1|17
粥|zhou1|33
粥|yu4|6
糁|shen1|6
糁|san3|3
糊|hu2|40
糊|hu1|74
糊|hu4|6
糜|mei2|4
糜|mi2|20
系|xi4|365
系|ji4|19
累|lei3|203
累|lei2|20
累|lei4|65
絜|jie2|3
絜|xie2|8
繇|yao2|4
繇|you2|4
纤|qian4|12
纤|xian1|98
约|yue1|276
约|yue4|2
约|yao1|6
纶|guan1|6
纶|lun2|21
结|ji4|2
结|jie1|18
结|jie2|416
给|gei3|68
给|ji3|65
绷|beng3|5
绷|beng4|4
绷|beng1|34
缊|yun4|4
缊|yun1|5
缝|feng2|64
缝|feng4|49
缥|piao1|4
缥|piao3|4
缪|mou2|6
缪|mu2|2
缪|miu4|14
罗|luo2|857
罗|luo1|16
翘|qiao4|18
翘|qiao2|36
翟|di2|3
翟|zhai2|4
耙|ba4|7
耙|pa2|19
耙|pa1|2
耶|ye1|101
耶|ye2|4
肖|xiao4|17
肖|xiao1|15
肚|du4|58
肚|du3|30
背|bei1|34
背|bei4|264
胖|pang4|23
胖|pan2|4
胖|pang2|2
脉|mai4|176
脉|mo4|20
脊|ji3|109
脊|ji2|8
脏|zang1|42
脏|zang4|26
脯|fu3|14
脯|pu2|8
脱|tuo1|240
脱|tui4|4
膀|bang4|2
膀|bang3|15
膀|pang2|12
膏|gao1|102
膏|gao4|10
臂|bi4|88
臂|bei1|6
臊|sao4|12
臊|sao1|5
臭|chou4|78
臭|xiu4|12
舍|she3|76
舍|she4|174
般|bo1|4
般|ban1|59
般|pan2|6
色|se4|726
色|shai3|22
艾|yi4|4
艾|ai4|94
节|jie2|489
节|jie1|10
芥|jie4|45
芥|gai4|4
芯|xin4|4
芯|xin1|20
苔|tai1|4
苔|tai2|18
苕|tiao2|4
苕|shao2|3
若|re3|8
若|ruo4|265
苫|shan1|11
苫|shan4|6
茄|jia1|7
茄|qie2|37
茜|xi1|3
茜|qian4|7
荥|ying2|4
荥|xing2|5
荫|yin1|20
荫|yin4|22
荷|he4|71
荷|he2|48
莎|sha1|30
莎|suo1|8
莞|guan3|4
莞|wan3|6
莨|liang2|6
莨|lang4|3
莩|piao3|6
莩|fu2|4
菌|jun1|170
菌|jun4|16
菟|tu4|4
菟|tu2|4
菲|fei3|18
菲|fei1|59
萎|wei3|42
萎|wei1|4
落|luo4|461
落|lao4|18
落|la4|12
落|luo1|2
著|zhu4|112
著|zhe1|4
著|zhuo2|14
葛|ge2|17
葛|ge3|45
蒙|meng1|32
蒙|meng3|52
蒙|meng2|155
蔓|man2|2
蔓|man4|26
蔓|wan4|12
蔚|yu4|6
蔚|wei4|23
蕃|bo1|4
蕃|fan2|4
蕃|fan1|6
薄|bo2|216
薄|bao2|59
薄|bo4|14
薄|bu4|4
藉|jie4|40
藉|ji2|11
藏|cang2|173
藏|zang4|109
虺|hui1|4
虺|hui3|8
蚂|ma4|6
蚂|ma1|2
蚂|ma3|12
蚌|bang4|22
蚌|beng4|8
蛇|yi2|4
蛇|she2|205
蛤|ge2|22
蛤|ha2|11
蛸|xiao1|6
蛸|shao1|6
蜚|fei3|4
蜚|fei1|13
螫|zhe1|3
螫|shi4|6
